Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
First Republic Bank,San Francisco,CA,59017,"JPMorgan Chase Bank, N.A.",2023-05-01,10543
Signature Bank,New York,NY,57053,"Flagstar Bank, N.A.",2023-03-12,10540
Silicon Valley Bank,Santa Clara,CA,24735,FirstCitizens Bank & Trust Company,2023-03-10,10539
Almena State Bank,Almena,KS,15426,Equity Bank,2020-10-23,10538
First City Bank of Florida,Fort Walton Beach,FL,16748,"United Fidelity Bank, fsb",2020-10-16,10537
The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.",2020-04-03,10536
Ericson State Bank,Ericson,NE,18265,Farmers and Merchants Bank,2020-02-14,10535
City National Bank of New Jersey,Newark,NJ,21111,Industrial Bank,2019-11-01,10534
Resolute Bank,Maumee,OH,58317,Buckeye State Bank,2019-10-25,10533
Louisa Community Bank,Louisa,KY,58112,Kentucky Farmers Bank Corporation,2019-10-25,10532
The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",2019-05-31,10531
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,2017-12-15,10530
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,2017-10-13,10529
Fayette County Bank,Saint Elmo,IL,1802,"United Fidelity Bank, fsb",2017-05-26,10528
"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,30003,First-Citizens Bank & Trust Company,2017-05-05,10527
First NBC Bank,New Orleans,LA,58302,Whitney Bank,2017-04-28,10526
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,2017-03-03,10525
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,2017-01-27,10524
Harvest Community Bank,Pennsville,NJ,34951,First-Citizens Bank & Trust Company,2017-01-13,10523
Allied Bank,Mulberry,AR,91,Today's Bank,2016-09-23,10522
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,2016-08-19,10521
First CornerStone Bank,King of Prussia,PA,35312,First-Citizens Bank & Trust Company,2016-05-06,10520
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,2016-04-29,10519
North Milwaukee State Bank,Milwaukee,WI,20364,First-Citizens Bank & Trust Company,2016-03-11,10518
Hometown National Bank,Longview,WA,35156,Twin City Bank,2015-10-02,10517
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2015-10-02,10516
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",2015-07-10,10515
Edgebrook Bank,Chicago,IL,57772,Republic Bank of Chicago,2015-05-08,10514
Doral Bank,San Juan,PR,32102,Banco Popular de Puerto Rico,2015-02-27,10513
Capitol City Bank & Trust Company,Atlanta,GA,33938,First-Citizens Bank & Trust Company,2015-02-13,10512
Highland Community Bank,Chicago,IL,20290,"United Fidelity Bank, fsb",2015-01-23,10511
First National Bank of Crestview,Crestview,FL,17557,First NBC Bank,2015-01-16,10510
Northern Star Bank,Mankato,MN,34983,BankVista,2014-12-19,10509
