State abbreviation,Bankruptcies,State
AL,7,Alabama
AR,4,Arkansas
AZ,16,Arizona
CA,43,California
CO,10,Colorado
CT,2,Connecticut
FL,76,Florida
GA,93,Georgia
HI,1,Hawaii
IA,2,Iowa
ID,2,Idaho
IL,69,Illinois
IN,3,Indiana
KS,11,Kansas
KY,3,Kentucky
LA,4,Louisiana
MA,1,Massachusetts
MD,10,Maryland
MI,14,Michigan
MN,23,Minnesota
MO,16,Missouri
MS,2,Mississippi
NC,7,North Carolina
NE,4,Nebraska
NH,1,New Hampshire
NJ,8,New Jersey
NM,3,New Mexico
NV,12,Nevada
NY,6,New York
OH,9,Ohio
OK,7,Oklahoma
OR,6,Oregon
PA,10,Pennsylvania
PR,4,Puerto Rico
SC,10,South Carolina
SD,1,South Dakota
TN,7,Tennessee
TX,13,Texas
UT,8,Utah
VA,5,Virginia
WA,19,Washington
WI,11,Wisconsin
WV,2,West Virginia
WY,1,Wyoming
AK,0,Alaska
DE,0,Delaware
ME,0,Maine
MT,0,Montana
ND,0,North Dakota
RI,0,Rhode Island
VT,0,Vermont
