City,Bank Name,Acquiring Institution,State,Latitude,Longitude,Closing Date
San Francisco,First Republic Bank,"JPMorgan Chase Bank, N.A.",CA,37.7790262,-122.419906,2023-05-01
New York,Signature Bank,"Flagstar Bank, N.A.",NY,40.7127281,-74.0060152,2023-03-12
Santa Clara,Silicon Valley Bank,FirstCitizens Bank & Trust Company,CA,37.2333253,-121.6846349,2023-03-10
Almena,Almena State Bank,Equity Bank,KS,39.892229,-99.707058,2020-10-23
Fort Walton Beach,First City Bank of Florida,"United Fidelity Bank, fsb",FL,30.4057552,-86.618842,2020-10-16
Barboursville,The First State Bank,"MVB Bank, Inc.",WV,38.4095298,-82.2945923,2020-04-03
Ericson,Ericson State Bank,Farmers and Merchants Bank,NE,41.7799242,-98.6785815,2020-02-14
Newark,City National Bank of New Jersey,Industrial Bank,NJ,40.735657,-74.1723667,2019-11-01
Maumee,Resolute Bank,Buckeye State Bank,OH,41.5628294,-83.6538244,2019-10-25
Louisa,Louisa Community Bank,Kentucky Farmers Bank Corporation,KY,38.1144867,-82.6030988,2019-10-25
Cooper,The Enloe State Bank,"Legend Bank, N. A.",TX,33.3721434,-95.6877086,2019-05-31
Chicago,Washington Federal Bank for Savings,Royal Savings Bank,IL,41.8755616,-87.6244212,2017-12-15
Argonia,The Farmers and Merchants State Bank of Argonia,Conway Bank,KS,37.265854,-97.7656092,2017-10-13
Saint Elmo,Fayette County Bank,"United Fidelity Bank, fsb",IL,39.0272663,-88.8481139,2017-05-26
Milwaukee,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",First-Citizens Bank & Trust Company,WI,43.0349931,-87.922497,2017-05-05
New Orleans,First NBC Bank,Whitney Bank,LA,29.9759983,-90.0782127,2017-04-28
Cottonwood Heights,Proficio Bank,Cache Valley Bank,UT,40.613474,-111.8256464,2017-03-03
Chicago,Seaway Bank and Trust Company,State Bank of Texas,IL,41.8755616,-87.6244212,2017-01-27
Pennsville,Harvest Community Bank,First-Citizens Bank & Trust Company,NJ,39.6502715,-75.50833325636759,2017-01-13
Mulberry,Allied Bank,Today's Bank,AR,35.5006417,-94.0515919,2016-09-23
Woodbury,The Woodbury Banking Company,United Bank,GA,32.9837394,-84.5827031,2016-08-19
King of Prussia,First CornerStone Bank,First-Citizens Bank & Trust Company,PA,40.09476245,-75.3851333563417,2016-05-06
Memphis,Trust Company Bank,The Bank of Fayette County,TN,35.1460249,-90.0517638,2016-04-29
Milwaukee,North Milwaukee State Bank,First-Citizens Bank & Trust Company,WI,43.0349931,-87.922497,2016-03-11
Longview,Hometown National Bank,Twin City Bank,WA,46.1377048,-122.934462,2015-10-02
Peachtree City,The Bank of Georgia,Fidelity Bank,GA,33.3967829,-84.5957629,2015-10-02
Denver,Premier Bank,"United Fidelity Bank, fsb",CO,39.7392364,-104.984862,2015-07-10
Chicago,Edgebrook Bank,Republic Bank of Chicago,IL,41.8755616,-87.6244212,2015-05-08
San Juan,Doral Bank,Banco Popular de Puerto Rico,PR,18.465299,-66.116666,2015-02-27
Atlanta,Capitol City Bank & Trust Company,First-Citizens Bank & Trust Company,GA,33.7489924,-84.3902644,2015-02-13
Chicago,Highland Community Bank,"United Fidelity Bank, fsb",IL,41.8755616,-87.6244212,2015-01-23
Crestview,First National Bank of Crestview,First NBC Bank,FL,30.7621326,-86.5705084,2015-01-16
Mankato,Northern Star Bank,BankVista,MN,44.1634663,-93.9993505,2014-12-19
Palm Desert,"Frontier Bank, FSB D/B/A El Paseo Bank","Bank of Southern California, N.A.",CA,33.7288179,-116.382571,2014-11-07
Chicago,The National Republic Bank of Chicago,State Bank of Texas,IL,41.8755616,-87.6244212,2014-10-24
Rising Sun,NBRS Financial,Howard Bank,MD,39.6980597,-76.0628964,2014-10-17
Chicago,"GreenChoice Bank, fsb","Providence Bank, LLC",IL,41.8755616,-87.6244212,2014-07-25
Conyers,Eastside Commercial Bank,Community & Southern Bank,GA,33.6676103,-84.0176904,2014-07-18
Freedom,The Freedom State Bank,Alva State Bank & Trust Company,OK,36.7692966,-99.1133631,2014-06-27
Fort Lauderdale,Valley Bank,"Landmark Bank, National Association",FL,26.1223084,-80.1433786,2014-06-20
Moline,Valley Bank,Great Southern Bank,IL,41.5058344,-90.5136642,2014-06-20
Bel Air,Slavie Federal Savings Bank,"Bay Bank, FSB",MD,39.5355063,-76.3490396,2014-05-30
Cincinnati,Columbia Savings Bank,"United Fidelity Bank, fsb",OH,39.1014537,-84.5124602,2014-05-23
