City,First Acquirer,Second Acquirer,First Acquirer Count,Second Acquirer Count,Total Bankruptcies,Category
Acworth,State Bank and Trust Company,,1,,1,Minor
Ailey,Ameris Bank,,1,,1,Minor
Alamo,No Acquirer,,1,,1,Minor
Albuquerque,First American Bank,,1,,1,Minor
Aledo,Blackhawk Bank & Trust,,1,,1,Minor
Almena,Equity Bank,,1,,1,Minor
Alpharetta,ING DIRECT,Regions Bank,1,1.0,4,Moderate
Altus,Herring Bank,,1,,1,Minor
Andover,First Minnesota Bank,,1,,1,Minor
Anthony,Bank of Kansas,,1,,1,Minor
Antioch,First American Bank,,1,,1,Minor
Apollo Beach,American Momentum Bank,,1,,1,Minor
Arcola,No Acquirer,,1,,1,Minor
Argonia,Conway Bank,,1,,1,Minor
Arlington,Whidbey Island Bank,,1,,1,Minor
Asheville,Bank of North Carolina,"Capital Bank, N.A.",1,1.0,3,Moderate
Atlanta,No Acquirer,State Bank and Trust Company,4,2.0,10,Moderate
Aurora,"MB Financial Bank, N.A.",Northern State Bank,1,1.0,2,Moderate
Austin,BBVA Compass,,1,,1,Minor
Aventura,NAFH National Bank,,1,,1,Minor
Bainbridge Island,Columbia State Bank,,1,,1,Minor
Bakersfield,Citizens Business Bank,,1,,1,Minor
Bala Cynwyd,VIST Bank,,1,,1,Minor
Baltimore,"Bay Bank, FSB",Manufacturers and Traders Trust Company (M&T Bank),1,1.0,3,Moderate
Barboursville,"MVB Bank, Inc.",,1,,1,Minor
Barnesville,United Bank,,1,,1,Minor
Bartow,"CenterState Bank of Florida, N.A.",,1,,1,Minor
Batesville,Southern Bank,,1,,1,Minor
Beaverton,Washington Trust Bank of Spokane,,1,,1,Minor
Bel Air,"Bay Bank, FSB",,1,,1,Minor
Belleview,"CenterState Bank of Florida, N.A.",,1,,1,Minor
Bellingham,Washington Federal Savings and Loan Association,,1,,1,Minor
Bentonville,Pulaski Bank and Trust Company,,1,,1,Minor
Berkeley,Republic Bank of Chicago,,1,,1,Minor
Berwyn,No Acquirer,Republic Bank of Chicago,1,1.0,2,Moderate
Birmingham,AloStar Bank of Commerce,IBERIABANK,1,1.0,3,Moderate
Blackwell,RCB Bank,,1,,1,Minor
Blanchardville,The Park Bank,,1,,1,Minor
Bloomington,Republic Bank & Trust Company,,1,,1,Minor
Bluffton,Bank of the Ozarks,,1,,1,Minor
Boca Raton,Bank Leumi USA,First-Citizens Bank & Trust Company,1,1.0,2,Moderate
Boise,Sunwest Bank,,1,,1,Minor
Bonifay,First Federal Bank of Florida,,1,,1,Minor
Boothwyn,"Capital Bank, N.A.",,1,,1,Minor
Bradenton,Bank of the Ozarks,Fifth Third Bank,1,1.0,4,Moderate
Braselton,"CertusBank, National Association",,1,,1,Minor
Bremerton,Kitsap Bank,,1,,1,Minor
Bridgeport,No Acquirer,,1,,1,Minor
Brooksville,"Florida Community Bank, a division of Premier American Bank, N.A.",,1,,1,Minor
Brunswick,Bank of the Ozarks,,1,,1,Minor
Buford,Community & Southern Bank,,1,,1,Minor
Burlington,Columbia State Bank,First Michigan Bank,1,1.0,2,Moderate
Butler,Community First Bank,,1,,1,Minor
Calabasas,No Acquirer,,1,,1,Minor
Camargo,Bank 7,,1,,1,Minor
Cambridge,No Acquirer,,1,,1,Minor
Cape Coral,TIB Bank,,1,,1,Minor
Carrabelle,Centennial Bank,,1,,1,Minor
Carrollton,CharterBank,Community & Southern Bank,1,1.0,2,Moderate
Carson City,Heritage Bank of Nevada,,1,,1,Minor
Cartersville,Bank of the Ozarks,Hamilton State Bank,1,1.0,2,Moderate
Carthage,Trustmark National Bank,,1,,1,Minor
Cassville,Royal Bank,,1,,1,Minor
Castle Rock,First-Citizens Bank & Trust Company,,1,,1,Minor
Cave Junction,South Valley Bank & Trust,,1,,1,Minor
Champaign,Midland States Bank,,1,,1,Minor
Champlin,PrinsBank,,1,,1,Minor
Charleston,Bank of North Carolina,"First Citizens Bank and Trust Company, Inc.",1,1.0,2,Moderate
Cheneyville,Sabine State Bank & Trust,,1,,1,Minor
Cherry Hill,Customers Bank,,1,,1,Minor
Chesterfield,Midland States Bank,,1,,1,Minor
Chicago,Northbrook Bank & Trust Company,"MB Financial Bank, N.A.",4,3.0,20,Moderate
Chico,"Rabobank, N.A.",,1,,1,Minor
Cincinnati,"United Fidelity Bank, fsb",,1,,1,Minor
Clarkesville,SCBT National Association,,1,,1,Minor
Clayton,First American Bank and Trust Company,,1,,1,Minor
Clearwater,1st United Bank,,1,,1,Minor
Clermont,"TD Bank, N.A.",,1,,1,Minor
Cleveland,New York Community Bank,,1,,1,Minor
Clewiston,"CenterState Bank of Florida, N.A.",,1,,1,Minor
Clinton,State Bank of Lincoln,,1,,1,Minor
Cocoa Beach,"Florida Community Bank, a division of Premier American Bank, N.A.",,1,,1,Minor
Colfax,Columbia State Bank,,1,,1,Minor
Colorado Springs,Herring Bank,,1,,1,Minor
Columbia,SCBT National Association,,1,,1,Minor
Columbus,"First Financial Bank, N.A.",,1,,1,Minor
Commerce,Northeast Georgia Bank,,1,,1,Minor
Conyers,Community & Southern Bank,,1,,1,Minor
Cooper,"Legend Bank, N. A.",,1,,1,Minor
Coral Gables,1st United Bank,BankUnited,1,1.0,2,Moderate
Cornelia,SCBT National Association,,1,,1,Minor
Cottonwood Heights,Cache Valley Bank,,1,,1,Minor
Covington,Home Bank,,1,,1,Minor
Cranford,Northfield Bank,,1,,1,Minor
Crawfordville,Centennial Bank,,1,,1,Minor
Crestview,First NBC Bank,Summit Bank,1,1.0,2,Moderate
Crete,"Old Plank Trail Community Bank, National Association",,1,,1,Minor
Creve Coeur,BankLiberty,,1,,1,Minor
Crofton,Bank of Essex,,1,,1,Minor
Culver City,California Bank & Trust,,1,,1,Minor
Cumming,Georgia Commerce Bank,,1,,1,Minor
Dallas,Bank of the Ozarks,State Bank of Texas,1,1.0,2,Moderate
Danville,"First Financial Bank, N.A.",,1,,1,Minor
Davis,The Pauls Valley National Bank,,1,,1,Minor
Dawsonville,Bank of the Ozarks,,1,,1,Minor
Dearborn,The Huntington National Bank,,1,,1,Minor
Decatur,Fidelity Bank,,1,,1,Minor
Denver,First-Citizens Bank & Trust Company,"United Fidelity Bank, fsb",1,1.0,2,Moderate
Des Plaines,International Bank of Chicago,,1,,1,Minor
Destin,SmartBank,,1,,1,Minor
Detroit,Liberty Bank and Trust Company,,1,,1,Minor
Doraville,Metro City Bank,,1,,1,Minor
Douglasville,Community & Southern Bank,Hamilton State Bank,1,1.0,2,Moderate
Draper,No Acquirer,,1,,1,Minor
Duluth,Bank of Upson,"Branch Banking & Trust Company, (BB&T)",1,1.0,2,Moderate
Easley,"CertusBank, National Association",,1,,1,Minor
East Ellijay,Citizens South Bank,,1,,1,Minor
Edinburg,PlainsCapital Bank,,1,,1,Minor
El Reno,BancFirst,,1,,1,Minor
Eldred,National Bank,,1,,1,Minor
Elizabeth,Crown Bank,Galena State Bank and Trust Company,1,1.0,2,Moderate
Elko,Nevada State Bank,,1,,1,Minor
Ellaville,Ameris Bank,,1,,1,Minor
Ellijay,Community & Southern Bank,,2,,2,Minor
Ellington,Great Southern Bank,,1,,1,Minor
Elmwood Park,"FirstMerit Bank, N.A.",,1,,1,Minor
Englewood,"Premier American Bank, N.A.",,1,,1,Minor
Ephraim,Far West Bank,,1,,1,Minor
Ericson,Farmers and Merchants Bank,,1,,1,Minor
Eugene,Home Federal Bank,,1,,1,Minor
Evansville,Old National Bank,,1,,1,Minor
Everett,"Union Bank, N.A.",,1,,1,Minor
Fairfax,Palmetto State Bank,,1,,1,Minor
Farmington Hills,Level One Bank,,2,,2,Minor
Fayetteville,United Community Bank,,1,,1,Minor
Flagstaff,Sunwest Bank,,1,,1,Minor
Forest Lake,Central Bank,First Resource Bank,1,1.0,2,Moderate
Fort Deposit,First Citizens Bank,,1,,1,Minor
Fort Lauderdale,EverBank,"Landmark Bank, National Association",1,1.0,2,Moderate
Fort Lee,Alma Bank,,1,,1,Minor
Fort Myers,C1 Bank,Central Bank,1,1.0,2,Moderate
Fort Pierce,"TD Bank, N.A.",,1,,1,Minor
Fort Walton Beach,"United Fidelity Bank, fsb",,1,,1,Minor
Franklin,"CertusBank, National Association",Republic Bank & Trust Company,1,1.0,2,Moderate
Freedom,Alva State Bank & Trust Company,,1,,1,Minor
Gaithersburg,Sonabank,,1,,1,Minor
Geneva,Inland Bank & Trust,,1,,1,Minor
Germantown,No Acquirer,,1,,1,Minor
Gilbert,MidFirst Bank,,1,,1,Minor
Glasgow,Regional Missouri Bank,,1,,1,Minor
Glenwood,"MB Financial Bank, N.A.",,1,,1,Minor
Gold Canyon,"First Scottsdale Bank, National Association",,1,,1,Minor
Gordon,Morris Bank,,1,,1,Minor
Graceville,First Federal Bank of Florida,,1,,1,Minor
Granite Bay,Tri Counties Bank,,1,,1,Minor
Gravette,Delta Trust & Bank,,1,,1,Minor
Gray,State Bank and Trust Company,,2,,2,Minor
Greeley,"Bank Midwest, N.A.",No Acquirer,1,1.0,2,Moderate
Greenwood Village,"Bank Midwest, N.A.",,1,,1,Minor
Hallock,United Valley Bank,,1,,1,Minor
Hamtramck,First Michigan Bank,,1,,1,Minor
Hancock,"Community Development Bank, FSB",,1,,1,Minor
Harvey,United Central Bank,,1,,1,Minor
Hastings,Commercial Bank,,1,,1,Minor
Hato Rey,Scotiabank de Puerto Rico,,1,,1,Minor
Henderson,Bank of Nevada,JP Morgan Chase Bank,1,1.0,3,Moderate
Hiawassee,Citizens South Bank,,1,,1,Minor
Hinsdale,"Superior Federal, FSB",,1,,1,Minor
Hoffman Estates,"Barrington Bank & Trust Company, National Association",,1,,1,Minor
